name,latitude,longitude,monday,tuesday,wednesday,thursday,friday,saturday,sunday
TACOS LA,-38.0076101628385,145.09647172883555,Closed,Closed,Closed,Closed,16:00-20:00,11:00-20:00,Closed
Sam's Cali Cantina,-37.836032586177375,144.9965207260068,17:00-21:00,17:00-21:00,17:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00
SUPER TACO,-37.81107766797832,144.97115574134796,Closed,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,Closed
Taqueria Sin Nombre,-37.811639141344784,144.96637799717007,Closed,Closed,Closed,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00
Mesa Verde,-37.811837750473295,144.96515845484137,Closed,16:00-22:30,16:00-22:30,16:00-22:30,16:00-23:30,16:00-23:30,Closed
CDMX,-37.810483742490234,144.96228484134784,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-21:30,11:30-20:45,11:30-20:30
La Tortilleria,-37.790957478128696,144.93547028352606,16:30-21:00,12:00-15:00;16:30-21:00,12:00-15:00;16:30-21:00,12:00-15:00;16:30-21:00,12:00-15:00;16:30-21:00,12:00-21:00,12:00-15:00;16:30-21:00
Chabela,-37.75280476653009,145.0017800241545,Closed,17:00-21:00,17:00-21:00,17:00-21:00,17:00-22:00,12:00-22:00,12:00-21:00
Taquito,-37.797500706728854,144.96923945484062,12:00-22:30,12:00-22:30,12:00-22:30,12:00-23:00,12:00-00:30,12:00-00:30,Closed
El Columpio,-37.798092841280855,144.9764287394987,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,12:00-23:00,11:00-23:00,11:00-21:00
Little Hop,-37.79865498748287,144.97818299716957,12:00-22:00,12:00-22:00,12:00-22:00,12:00-23:00,12:00-01:00,12:00-01:00,12:00-22:00
Frankie's Tortas and Tacos,-37.79801295284549,144.97596848552496,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,09:00-22:00,09:00-20:00
Dingo Ate My Taco,-37.79958286740145,144.993999552992,Closed,Closed,Closed,Closed,08:00-23:00,08:00-23:00,08:00-21:00
